Topic,Relevant
-1,0
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
